year,harvest,Yield,Production,Imports,Exports,TotalConsumption,industrialUse,FeedUse,EndingStocks
 2016/17,1100,4.60,5056,8100,500,12900,1400,11500,1054
 2017/18,1050,4.65,4880,8800,500,13400,1400,12000,834
 2018/19,850,4.65,3950,9500,500,13100,1400,11700,684
 2019/20,888,4.68,4160,10502,500,14260,1409,12851,586
 2020/21,985,4.71,4638,11034,500,14966,1419,13547,792
 2021/22,1027,4.74,4871,11391,500,15655,1433,14222,899
 2022/23,1049,4.78,5015,11896,500,16304,1445,14859,1006
 2023/24,1076,4.82,5181,12330,500,16934,1463,15471,1083
 2024/25,1092,4.86,5302,12840,500,17564,1477,16087,1161
 2025/26,1110,4.89,5430,13323,500,18178,1486,16692,1236
 2026/27,1128,4.93,5561,13866,500,18849,1500,17349,1314
 2027/28,1142,4.97,5674,14416,500,19515,1509,18006,1389
 2028/29,1160,5.01,5807,14935,500,20166,1517,18649,1465
