year,harvest,Yield,Production,Imports,Exports,TotalConsumption,FoodUse,FeedWaste,Crush,EndingStocks
 2016/17,33466,3.49,116920,606,58960,55712,0,3970,51742,8208
 2017/18,36228,3.31,120039,594,57945,58973,0,3047,55926,11923
 2018/19,35753,3.57,127631,680,56064,60082,0,3746,56336,24088
 2019/20,33103,3.36,111312,680,56472,59931,0,3459,56472,19677
 2020/21,33103,3.40,112536,680,56880,60636,0,3483,57153,15377
 2021/22,33306,3.44,114441,680,57153,61234,0,3537,57697,12111
 2022/23,33468,3.47,116210,680,57425,61778,0,3537,58241,9798
 2023/24,33670,3.51,118252,680,57697,62378,0,3592,58786,8655
 2024/25,33872,3.55,120157,680,57969,63195,0,3593,59602,8328
 2025/26,34075,3.59,122198,680,58650,63929,0,3647,60282,8627
 2026/27,34075,3.62,123423,680,59330,64609,0,3646,60963,8791
 2027/28,34277,3.66,125464,680,60555,65317,0,3674,61643,9063
 2028/29,34277,3.70,126688,680,61371,65861,0,3673,62188,9199
